#{"t_start": 1747792596.386986, "env_id": "None"}
r,l,t
56.739898,1,550.618562
57.326732,1,551.642133
56.749416,1,552.642099
57.698747,1,553.723597
56.722128,1,554.605619
57.220895,1,555.681813
57.037415,1,556.561664
56.743205,1,557.64091
56.842742,1,558.56972
56.746918,1,559.621763
56.713805,1,560.593972
57.107126,1,561.4595
57.278492,1,562.462702
56.791412,1,563.495416
56.879628,1,564.513209
56.986539,1,565.495657
56.873094,1,566.410646
57.01329,1,567.328909
57.605439,1,568.403922
56.761019,1,569.487993
56.725473,1,570.400306
57.28392,1,571.462192
56.755268,1,572.39082
57.547123,1,573.447685
56.81442,1,574.308019
56.895762,1,575.266847
56.743651,1,576.293283
57.152174,1,577.31933
56.745354,1,578.249524
57.534256,1,579.31567
56.753565,1,580.24225
57.131316,1,581.316741
57.536778,1,582.198825
56.737325,1,583.260749
56.76372,1,584.21532
56.720991,1,585.081782
56.834598,1,586.155759
56.824439,1,587.264925
57.027848,1,588.243242
56.729179,1,589.312712
56.712575,1,590.293118
57.145278,1,591.175346
57.274925,1,592.236732
57.133374,1,593.242266
57.372774,1,594.154968
57.032583,1,595.237468
56.761334,1,596.131275
56.745209,1,597.185232
57.140048,1,598.113432
56.735654,1,599.03022
56.92854,1,600.095908
56.741934,1,601.185486
56.747722,1,602.085211
56.993523,1,603.14346
57.371774,1,604.122761
56.73811,1,605.188811
56.751116,1,606.15968
56.698909,1,607.187374
57.343631,1,608.173859
57.193858,1,609.12951
57.164503,1,610.137933
57.130852,1,611.271511
57.849236,1,612.326369
56.72146,1,613.330439
56.728855,1,614.307048
56.731937,1,615.183487
57.343804,1,616.241784
56.719119,1,617.241996
57.397508,1,618.186534
56.711938,1,619.232352
57.110488,1,620.187404
56.727067,1,621.219479
56.765966,1,622.16158
56.840208,1,623.088272
57.360633,1,624.156539
57.499908,1,625.158051
56.746388,1,626.040469
56.759076,1,627.167201
57.319635,1,628.031141
56.750478,1,629.116334
57.044977,1,629.983202
57.113228,1,630.997889
56.985941,1,631.831088
57.445107,1,632.710567
56.736103,1,633.693116
56.741918,1,634.721521
58.015605,1,635.59719
56.721974,1,636.64429
57.115853,1,637.506922
57.889228,1,638.374358
58.045052,1,639.363039
56.737942,1,640.523534
56.744063,1,641.380832
56.737387,1,642.37652
56.82588,1,643.245196
56.730355,1,644.240406
56.712678,1,645.096853
56.751507,1,645.943629
57.56547,1,646.945443
56.730132,1,647.930846
57.88594,1,648.797518
56.987902,1,649.790278
56.745319,1,650.644342
57.191963,1,651.629931
56.892649,1,652.471525
57.021043,1,653.446377
56.8266,1,654.28537
56.737517,1,655.134654
56.819837,1,656.111777
57.233284,1,657.113436
57.540021,1,657.959579
56.737318,1,658.972244
56.764931,1,659.821053
56.858217,1,660.686343
57.135047,1,661.669168
57.562668,1,662.683851
56.717007,1,663.545867
56.717007,1,664.543929
57.941989,1,665.387797
57.300171,1,666.439552
56.759543,1,667.294206
56.996076,1,668.14588
56.766178,1,669.113819
56.901245,1,670.112252
56.933515,1,670.947452
57.051063,1,671.952462
57.502569,1,672.828117
56.765186,1,673.796021
57.568762,1,674.675391
56.738024,1,675.653423
56.909875,1,676.524485
56.729081,1,677.357491
56.915019,1,678.326011
56.835906,1,679.319939
57.491869,1,680.159524
57.583634,1,681.159536
57.347729,1,682.017435
56.985219,1,682.86527
57.517326,1,683.875155
57.387173,1,684.867781
56.813693,1,685.703233
57.519176,1,686.702309
57.02325,1,687.550284
56.755354,1,688.526651
56.844175,1,689.371317
57.281574,1,690.248971
56.726457,1,691.225052
56.734332,1,692.210368
57.152675,1,693.093782
57.02962,1,694.088177
57.142094,1,694.92803
56.732622,1,695.907178
57.146076,1,696.796996
56.733588,1,697.788439
57.34326,1,698.647928
56.90522,1,699.5083
56.719348,1,700.491353
56.99886,1,701.490975
56.918013,1,702.376717
56.733848,1,703.380646
56.766714,1,704.232286
56.731614,1,705.089661
56.731903,1,706.068788
57.483456,1,707.043019
56.712081,1,707.885568
57.045231,1,708.875223
56.924013,1,709.749461
56.789784,1,710.74094
57.052648,1,711.59446
56.699487,1,712.439297
56.699487,1,713.402465
56.742784,1,714.416014
56.727293,1,715.266686
56.734721,1,716.251674
56.745026,1,717.113848
57.137365,1,718.1023
57.425881,1,718.976277
56.804235,1,719.963525
56.77639,1,720.808374
56.718317,1,721.648881
56.756829,1,722.634231
56.711958,1,723.622488
56.746946,1,724.467943
56.746946,1,725.458646
56.793987,1,726.31218
57.290338,1,727.183562
57.010991,1,728.212356
56.724561,1,729.202014
56.792716,1,730.074585
56.725981,1,731.076567
56.744267,1,731.921119
57.451217,1,733.094834
57.114662,1,733.938998
57.283244,1,734.80378
56.716467,1,735.769967
57.282644,1,736.759471
56.74309,1,737.611744
56.711653,1,738.620685
56.744191,1,739.455291
57.180338,1,740.449543
56.731577,1,741.286806
56.729326,1,742.261572
56.801995,1,743.127961
56.754065,1,743.971155
57.01002,1,744.964374
56.734897,1,745.96443
57.151442,1,746.808379
57.147571,1,747.815046
57.273695,1,748.657896
57.969232,1,749.51687
56.995616,1,750.514549
56.731014,1,751.518666
56.717009,1,752.361444
56.757121,1,753.341064
56.723513,1,754.200553
56.716383,1,755.214836
56.728324,1,756.071199
56.759609,1,756.915033
57.315561,1,757.884308
58.528362,1,758.966198
59.209472,1,759.823522
58.189886,1,760.838043
59.474275,1,761.694665
58.520655,1,762.812592
57.810896,1,763.648479
59.076586,1,764.609571
59.819607,1,765.445739
59.14206,1,766.312363
58.23923,1,767.292752
59.770604,1,768.29932
61.036707,1,769.119769
58.372844,1,770.111857
57.23511,1,770.97377
61.461285,1,771.826844
57.06037,1,772.798801
58.367158,1,773.784658
